Track,Artist,Album,Duration,Explicit
Chelsea Dagger,The Fratellis,Costello Music,03:35,False
Chelsea Hotel #2,Leonard Cohen,New Skin for the Old Ceremony,03:08,False
Cherry Bomb,The Runaways,Guardians of the Galaxy: Awesome Mix  Vol. 1 (Original Motion Picture Soundtrack),02:17,False
Cigarette Smoker Fiona,Arctic Monkeys,Who The Fuck Are Arctic Monkeys? [EP],02:56,False
Clandestino,Manu Chao,Clandestino,02:29,False
Classical Gas,Mason Williams,Phonograph Record,03:04,False
Cliffs of Dover (Live),Eric Johnson,Live from Austin  TX: Eric Johnson,06:13,False
Clint Eastwood,Gorillaz,Gorillaz,05:39,False
The Combine Harvester (Brand New Key),The Wurzels,The Wurzels Collection,03:03,False
Come,Jain,Zanaka (Deluxe),02:42,False
Come a Little Closer,Cage the Elephant,Melophobia,03:49,False
Come and Get Your Love,Redbone,Guardians of the Galaxy: Awesome Mix  Vol. 1 (Original Motion Picture Soundtrack),03:26,False
Come Down,Anderson .Paak,Malibu,02:56,True
Come Get Her,Rae Sremmurd,SremmLife,03:32,True
Come On Eileen,Dexy's Midnight Runners,Too Rye Ay,04:33,False
Come On  Get In,KT Tunstall,Tiger Suit,03:40,False
Comfort,Julia Jacklin,Crushing,03:07,False
Coming Up Easy,Paolo Nutini,Sunny Side Up,03:48,False
Common People,Pulp,Different Class / Deluxe Edition,05:50,False
Comptine D'un Autre Été: L'après Midi,Yann Tiersen,Le Fabuleux Destin d'Amélie Poulain,02:20,False
Cool Waves,Spiritualized,Ladies and Gentlemen We Are Floating In Space,05:06,False
Corduroy Dreams,Rex Orange County,Bcos U Will Never B Free,03:26,True
Cory Wong,Vulfpeck,The Beautiful Game,04:06,False
Cousins,Vampire Weekend,Contra (Bonus Track Version),02:25,False
Cowboys,Fugees,The Score,05:23,True
Crack a Bottle,Eminem  Dr. Dre & 50 Cent,Relapse,04:57,True
Crank That,Soulja Boy Tell 'Em,Young Gunz,03:42,True
Crash,Against Me!,Shape Shift with Me,02:35,False
Crazy,Patsy Cline,The Country Album,02:43,False
Crazy,Gnarls Barkley,St. Elsewhere,02:58,False
Crazy Little Thing Called Love,Queen,Greatest Hits I  II & III,02:43,False
Creep,Radiohead,Pablo Honey,03:55,False
Crew (Remix) [feat. Gucci Mane  Brent Faiyaz & Shy Glizzy],GoldLink,Crew (Remix) [feat. Gucci Mane  Brent Faiyaz & Shy Glizzy] - Single,04:00,True
Crocodile Rock,Elton John,Rocket Man: The Definitive Hits,03:55,False
Crocodile Rock (Remastered),Elton John,Diamonds (Deluxe),03:56,False
Crown Shy,Plaid,Polymer,03:50,False
Crush,Tessa Violet,Bad Ideas,03:36,False
Crystal Dolphin,Engelwood,Crust Fm,01:54,False
Cupid's Chokehold (Featuring Patrick Stump) [Radio Mix],Gym Class Heroes,Cupid's Chokehold - Single (feat. Patrick Stump),03:57,False
Cutched Under,Lone,Reality Testing,06:08,False
Cute Thing,Car Seat Headrest,Twin Fantasy,05:39,True
D Is For Dangerous,Arctic Monkeys,Favourite Worst Nightmare,02:16,False
Da Funk,Daft Punk,Homework,05:28,False
Damaged,Primal Scream,Screamadelica,05:37,False
Dammit,blink-182,Dude Ranch,02:45,True
Damn It Feels Good to Be a Gangsta (Mixtape Version),Geto Boys,The Best of the Geto Boys,03:13,True
Dance Yrself Clean,LCD Soundsystem,This Is Happening,08:56,False
Dance  Dance,Fall Out Boy,From Under the Cork Tree,03:00,False
Dancers,Plaid,Polymer,05:00,False
Dancin (Krono Remix) [feat. Luvli],Aaron Smith,Dancin (Krono Remix) [feat. Luvli] - Single,03:18,False
Dancing in the Dark,Imagine Dragons,Evolve,03:53,False
Dancing In the Moonlight,Toploader,Dancing In the Moonlight - The Best of Toploader,03:53,False
Dancing Queen,ABBA,ABBA Gold,03:51,False
Dancing Shoes,Arctic Monkeys,Whatever People Say I Am  That's What I'm Not,02:21,False
Dancing With Myself,Billy Idol,Greatest Hits,04:50,False
Dang! (feat. Anderson .Paak),Mac Miller,The Divine Feminine,05:05,True
Dans ma ruche,Guizmo,Dans ma ruche,03:19,False
Dare,Gorillaz,Demon Days,04:04,False
The Dark of the Matinée,Franz Ferdinand,Franz Ferdinand,04:05,False
Day 1,SBTRKT,Wonder Where We Land,00:33,False
Day 5,SBTRKT,Wonder Where We Land,00:23,False
A Day In the Life,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,05:35,False
Daydream Believer,The Monkees,The Best of the Monkees,02:59,False
Daydreaming,Radiohead,Daydreaming - Single,06:24,False
Daydreaming,Marc Wavy,Daydreaming - Single,02:55,False
Days of Candy,Beach House,Depression Cherry,06:15,False
Dead Rats,Against Me!,Shape Shift with Me,04:08,True
Dead!,My Chemical Romance,The Black Parade,03:15,True
Dean Town,Vulfpeck,The Beautiful Game,03:33,False
Dear Catastrophe Waitress,Belle & Sebastian,Dear Catastrophe Waitress,02:22,False
Death of a Ladies' Man,Leonard Cohen,Death of a Ladies' Man,09:21,False
Death with Dignity,Sufjan Stevens,Carrie & Lowell,03:59,False
Deep Soul,Mella Dee,Deep Soul - EP,06:17,False
Deeper In Love,Barely Alive & Great Good Fine Ok,Odyssey,03:20,False
Delicate  Petite & Other Things I'll Never Be,Against Me!,Shape Shift with Me,04:17,False
Demon Days,Gorillaz,Demon Days,04:28,False
Dendron,The Hotelier,Home  Like Noplace Is There,05:27,False
Désolé (feat. Fatoumata Diawara),Gorillaz,Song Machine Episode 2 – EP,03:56,False
Despair In The Departure Lounge,Arctic Monkeys,Who The Fuck Are Arctic Monkeys? [EP],03:22,False
Deux arabesques  L. 66: No. 1 Andante con moto,Menahem Pressler,Clair de lune,05:30,False
Diamonds In the Mine,Leonard Cohen,Songs of Love and Hate,03:52,False
Diane Young,Vampire Weekend,Watch Dogs (Music From the Video Game Soundtrack),02:41,False
Diane Young,Vampire Weekend,Modern Vampires of the City,02:40,False
Diddy Bop (feat. Raury & Cam O'bi),Noname,Telefone,03:28,True
Digital Love,Daft Punk,Discovery,05:01,False
Dirty Harry,Gorillaz,Demon Days,03:43,False
Disco 2000,Pulp,Different Class,04:33,False
Disco Yes,Tom Misch & Poppy Ajudha,Geography,04:40,False
Discomfort Revisited,The Hotelier,Home  Like Noplace Is There,03:59,False
Disenchanted,My Chemical Romance,The Black Parade,04:55,False
Do I Wanna Know?,Arctic Monkeys,AM,04:31,False
Do Me A Favour,Arctic Monkeys,Favourite Worst Nightmare,03:27,False
Do You Remember the First Time?,Pulp,His 'N' Hers (Deluxe Edition),04:22,False
Dog Days Are Over,Florence + the Machine,Lungs,04:12,False
Doin' It Right (feat. Panda Bear),Daft Punk,Random Access Memories,04:11,False
Don't Dream It's Over,Crowded House,The Very Very Best of Crowded House,03:58,False
Don't Go Breaking My Heart,Elton John,Rocket Man: The Definitive Hits,04:35,False
Don't Go Breaking My Heart (Remastered),Elton John & Kiki Dee,Diamonds (Deluxe),04:26,False
Don't Go Home With Your Hard-On,Leonard Cohen,Death of a Ladies' Man,05:38,False
Don't Let The Sun Go Down On Me,Elton John,Rocket Man: The Definitive Hits,05:37,False
Don't Pass Me By,The Beatles,The Beatles (White Album),03:50,False
Don't Stop,Fleetwood Mac,Rumours,03:13,False
Don't Stop Me Now,Queen,Greatest Hits I  II & III,03:31,False
Don't You Know I'm In a Band,Confidence Man,Confident Music For Confident People,03:23,True
Don’t Look Back Into the Sun,The Libertines,Time for Heroes - The Best of The Libertines,03:00,True
Doncamatic (feat. Daley),Gorillaz,Doncamatic (feat. Daley) - EP,03:22,False
Doo Wop (That Thing),Lauryn Hill,The Miseducation of Lauryn Hill,05:20,False
Douha (Mali Mali) [Edit],Disclosure & Fatoumata Diawara,Douha (Mali Mali) - Single,02:51,False
Down On the Corner,Creedence Clearwater Revival,Best of Creedence Clearwater Revival,02:43,False
Down to the River to Pray,Alison Krauss,O Brother  Where Art Thou? (Music from the Film) [Deluxe Edition],02:56,False
Dr. Wanna Do,Caro Emerald,Deleted Scenes from the Cutting Room Floor (Deluxe Edition),03:01,False
Dragon Bones,Jamie T,Trick,04:09,False
Dream a Little Dream of Me,Louis Armstrong & Ella Fitzgerald,The Very Best of Jazz: 50 Unforgettable Tracks (Remastered),03:07,False
Dream of Me,Kristina Train,Dream of Me - Single,03:36,False
Dream On,The Chemical Brothers,Surrender,06:46,False
Dreaming Of You,The Coral,The Coral,02:21,False
Dreams,Fleetwood Mac,Rumours,04:17,False
Dress Rehearsal Rag,Leonard Cohen,Songs of Love and Hate,06:12,False
Drinks,Twista,Kamikaze,04:14,True
Drown,Karen O & Danger Mouse,Lux Prima,03:26,False
Drowned Sea,Plaid,Polymer,04:48,False
The Drugs Don't Work,The Verve,Urban Hymns (Deluxe / Remastered 2016),05:04,False
Drunk Drivers / Killer Whales,Car Seat Headrest,Teens of Denial,06:14,True
Dust,Plaid,Polymer,02:21,False
Dust Bowl Dance,Mumford & Sons,Sigh No More,04:43,False
Dy-Na-Mi-Tee,Ms. Dynamite,A Little Deeper,03:37,False
Dylan Thomas,Better Oblivion Community Center  Conor Oberst & Phoebe Bridgers,Better Oblivion Community Center,03:36,False
Easy,The Commodores,Baby Driver (Music from the Motion Picture),04:13,False
Easy Breezy,chelmico,Easy Breezy - Single,03:28,False
Easy Tiger,Portugal. The Man,Woodstock,03:37,False
Ed-Ucation,Dr. Dre & Eddie Griffin,2001,01:32,True
Eid Ma Clack Shaw,Bill Callahan,Sometimes I Wish We Were an Eagle,04:19,False
Eleanor Rigby,The Beatles,Revolver,02:06,False
Elephant,Tame Impala,Lonerism,03:31,False
Elvis Ain't Dead,Scouting for Girls,Scouting for Girls,03:49,False
Empire,Kasabian,Empire,03:53,False
The End.,My Chemical Romance,The Black Parade,01:52,False
Enola Gay,Orchestral Manoeuvres In The Dark,Messages: OMD Greatest Hits,03:32,False
Enormous Penis,Da Vinci's Notebook,Brontosaurus,02:44,False
Entertainment,Phoenix,Bankrupt!,03:39,False
Escape (The Pina Colada Song),Rupert Holmes,Guardians of the Galaxy: Awesome Mix  Vol. 1 (Original Motion Picture Soundtrack),04:37,False
Eternal Summer,The Strokes,The New Abnormal,06:15,False
Europa (Earth's Cry Heaven's Smile),Santana,The Essential Santana,05:04,False
Eve of Destruction,The Chemical Brothers,No Geography,04:40,False
Ever Fallen in Love (with Someone You Shouldn't've)?,Buzzcocks,I Don't Mind the Buzzcocks,02:42,False
Everlasting Light,The Black Keys,Brothers (Deluxe Remastered Anniversary Edition),03:25,False
Everybody Knows,SBTRKT,Wonder Where We Land,03:31,False
Everybody Wants To Rule the World (7" Version),Tears for Fears,Songs From the Big Chair (Super Deluxe Version),04:12,False
Everybody's Changing,Keane,Hopes and Fears,03:35,False
Everyday,Buddy Holly,Buddy Holly,02:09,False
Everything I Own,The Front Bottoms,Talon of the Hawk,03:43,False
Everything Is Fair,A Tribe Called Quest,The Low End Theory,02:58,False
Everywhere,Fleetwood Mac,Greatest Hits,03:42,False
Excursions,A Tribe Called Quest,The Low End Theory,03:54,False
exile (feat. Bon Iver),Taylor Swift,folklore,04:45,False
Exodus,Bob Marley & The Wailers,Exodus,07:29,False
Explorers,Muse,The 2nd Law,05:46,False
Eye Know,De La Soul,3 Feet High And Rising,04:13,False
Fade Like A Shadow,KT Tunstall,Tiger Suit,03:28,False
Fake Love,Drake,More Life,03:30,True
Fake Plastic Trees,Radiohead,The Bends,04:50,False
Fake Tales Of San Francisco,Arctic Monkeys,Whatever People Say I Am  That's What I'm Not,02:58,False
Family Business,Fugees,The Score,05:43,True
Famous Blue Raincoat,Leonard Cohen,Songs of Love and Hate,05:15,False
Famous Last Words,My Chemical Romance,The Black Parade,04:59,False
Famous Prophets (Stars),Car Seat Headrest,Twin Fantasy,16:10,False
Fast Car,Tracy Chapman,Tracy Chapman,04:56,False
Fat Bottomed Girls,Queen,Greatest Hits I  II & III,03:24,False
Father Speaks,Handsome Boy Modeling School,So...How's Your Girl?,01:27,False
The Fear,Lily Allen,It's Not Me  It's You (Deluxe Version),03:27,True
Feel Good Inc.,Gorillaz,Demon Days,03:41,False
Feel It Still,Portugal. The Man,Woodstock,02:43,False
Feels Like Summer,Childish Gambino,Summer Pack - Single,04:57,False
Feels Like We Only Go Backwards,Tame Impala,Lonerism,03:12,False
Festive Overture,Vladimir Ashkenazy & Philharmonia Orchestra,Shostakovich: Festive Overture and Symphony No. 5,05:49,False
The Feud,The Front Bottoms,Talon of the Hawk,03:13,False
Field Commander Cohen,Leonard Cohen,New Skin for the Old Ceremony,04:04,False
Fight For Your Right,Beastie Boys,Licenced to Ill,03:27,False
Finders Keepers (feat. Kojo Funds),Mabel,Bedroom - EP,04:31,False
Finesse (Remix) [feat. Cardi B],Bruno Mars,Finesse (Remix) [feat. Cardi B] - Single,03:37,False
Fingerprints,Leonard Cohen,Death of a Ladies' Man,03:00,False
Fireball (feat. John Ryan),Pitbull,Fireball (feat. John Ryan) - Single,03:55,False
Fireside,Arctic Monkeys,AM,03:01,False
First Date,blink-182,Greatest Hits,02:51,False
First Day of My Life,Bright Eyes,I'm Wide Awake  It's Morning,03:08,False
Fisherman's Blues (2006 Remaster),The Waterboys,Fisherman's Blues,04:26,False
Five Colours In Her Hair,McFly,Room On the 3rd Floor,02:57,False
Flagpole Sitta,Harvey Danger,Where Have All the Merrymakers Gone?,03:37,False
Flames (Leandro Da Silva Remix),David Guetta & Sia,Flames (Remixes) - Single,05:45,False
Flash,Queen,Greatest Hits I  II & III,02:48,False
Flash (Single Version),Queen,Flash Gordon (Deluxe Edition),02:49,False
Flow,Cage the Elephant,Thank You Happy Birthday (Deluxe),07:43,False
Flower,Moby,Play - The B Sides,03:25,False
Flugufrelsarinn,Sigur Rós,Ágætis Byrjun,07:47,False
Fluorescent Adolescent,Arctic Monkeys,Favourite Worst Nightmare,02:57,False
Folsom Prison Blues,Johnny Cash,Ring of Fire: the Legend of Johnny Cash,02:50,False
Fooled Around and Fell In Love,Elvin Bishop,Guardians of the Galaxy: Awesome Mix  Vol. 1 (Original Motion Picture Soundtrack),04:35,False
Footloose,Kenny Loggins,Footloose (15th Anniversary Collectors' Edition) [Original Soundtrack of the Motion Picture],03:46,False
For No One,The Beatles,Revolver,02:01,False
Forever (feat. Ravyn Lanae & Joseph Chilliams),Noname,Telefone,03:38,True
Forgot About Dre,Dr. Dre,2001,03:42,True
Fortune Teller,Xavier Rudd,Food in the Belly,03:26,False
